Day,StartTime,EndTime,Course,Group,Room
TUESDAY,10:00,10:50,Object Oriented Programming Using JAVA,CSE-CS 2.2,C102
TUESDAY,18:00,18:50,Object Oriented Programming Using JAVA,CSE-CS 2.2,A202
TUESDAY,16:00,16:50,Object Oriented Programming Using JAVA,CSE-CS 2.2,B222
FRIDAY,08:00,09:40,Object Oriented Programming Using JAVA,CSE-CS 2.2,Chemistry Lab
FRIDAY,11:50,13:30,Object Oriented Programming Using JAVA,CSE-CS 2.2,Microprocessor Lab-2
THURSDAY,13:50,15:30,Object Oriented Programming Using JAVA,CSE-CS 2.2,Downstream Processing Lab
MONDAY,11:50,13:30,Object Oriented Programming Using JAVA,CSE-CS 2.2,Microbiology Lab
WEDNESDAY,10:00,10:50,Foundations of Artificial Intelligence,CSE-CS 3.1,C302
MONDAY,14:00,14:50,Foundations of Artificial Intelligence,CSE-CS 3.1,B426
TUESDAY,14:00,14:50,Foundations of Artificial Intelligence,CSE-CS 3.1,B322
MONDAY,09:50,11:30,Foundations of Artificial Intelligence,CSE-CS 3.1,Baking Lab
WEDNESDAY,13:50,15:30,Foundations of Artificial Intelligence,CSE-CS 3.1,Mechatronics Lab
