Day,StartTime,EndTime,Course,Group,Room
MONDAY,13:00,13:50,Computational Statistics,CSBS 2.1,B408
WEDNESDAY,15:00,15:50,Computational Statistics,CSBS 2.1,B212
THURSDAY,09:00,09:50,Computational Statistics,CSBS 2.1,B405
THURSDAY,09:50,11:30,Computational Statistics,CSBS 2.1,TLFL1
FRIDAY,09:50,11:30,Computational Statistics,CSBS 2.1,TLFL1
MONDAY,14:00,14:50,Modern Web Applications,CSBS 4.1,A202
TUESDAY,14:00,14:50,Modern Web Applications,CSBS 4.1,B107
WEDNESDAY,12:00,12:50,Modern Web Applications,CSBS 4.1,A208
WEDNESDAY,09:50,11:30,Modern Web Applications,CSBS 4.1,TLFR3
MONDAY,17:30,19:10,Modern Web Applications,CSBS 4.1,TLFL2
